ID,date,tipstar,observed
kb009036T4,2000-10-03,36259.0155908797,51584.4
kb009036T5,2000-10-03,55160.3405866418,58231.5
kb009036T6,2000-10-03,74125.1174355028,63837
kb009036T7,2000-10-03,23190.8358720257,50171.9
kb009036T8,2000-10-03,54135.5586416156,55305.2
kb009036T9,2000-10-03,56204.0783083209,57981.9
KB019045T1,2001-09-24,58458.476396573,52284
KB019045T2,2001-09-24,59053.5937386366,49591
KB019045T3,2001-09-24,56016.1730679832,58436
KB029055T1,2002-10-21,56171.3652254282,54828
KB029055T2,2002-10-21,53705.7206584123,59156
KB039074T1,2003-09-19,24823.3476614553,48187
KB039074T2,2003-09-19,28749.9283506085,50313
KB039074T3,2003-09-19,31362.4522970197,48552
KB039074T4,2003-09-19,32170.7413471638,52300
KB039074T5,2003-09-19,28002.9156943005,55799
KB039074T6,2003-09-19,30754.6488937261,57029
KB039074T7,2003-09-19,32988.583258781,56571
KB039074T8,2003-09-19,33687.1717699649,56007
